#,Time,Service,Flags,Prio,Source Address,Source Name,Destination Address,Destination Name,Hop Count,Type,DPT,Info,Iack
1,"4/1/2026 12:47:42.213 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,DeviceDescriptor_Read,,"DescriptorType=0",LL_ACK
2,"4/1/2026 12:47:42.241 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,DeviceDescriptor_Response,,"DescriptorType=0, DescriptorData=07 B0",LL_ACK
3,"4/1/2026 12:47:42.278 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Read,,"ObjectIndex=0, PropertyId=56, Count=1, StartIndex=1",LL_ACK
4,"4/1/2026 12:47:42.318 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response,,"ObjectIndex=0, PropertyId=56, Count=1, StartIndex=1, Data=00 FE",LL_ACK
5,"4/1/2026 12:47:42.406 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,Sec,,"SyncReq, SourceSeqNr=259868072509",LL_ACK
6,"4/1/2026 12:47:42.490 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,Sec,,"SyncRes, SourceSeqNr=126050, TargetSeqNr=259868072509",LL_ACK
7,"4/1/2026 12:47:42.560 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Read,,"ObjectIndex=0, PropertyId=11, Count=1, StartIndex=1",LL_ACK
8,"4/1/2026 12:47:42.643 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response,,"ObjectIndex=0, PropertyId=11, Count=1, StartIndex=1, Data=00 85 00 00 00 0B",LL_ACK
9,"4/1/2026 12:47:42.682 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,DeviceDescriptor_Read,,"DescriptorType=0",LL_ACK
10,"4/1/2026 12:47:42.710 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,DeviceDescriptor_Response,,"DescriptorType=0, DescriptorData=07 B0",LL_ACK
11,"4/1/2026 12:47:42.746 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Read,,"ObjectIndex=0, PropertyId=56, Count=1, StartIndex=1",LL_ACK
12,"4/1/2026 12:47:42.798 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response,,"ObjectIndex=0, PropertyId=56, Count=1, StartIndex=1, Data=00 FE",LL_ACK
13,"4/1/2026 12:47:42.888 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,Sec,,"SyncReq, SourceSeqNr=259868072510",LL_ACK
14,"4/1/2026 12:47:45.892 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,Sec,,"SyncReq, SourceSeqNr=259868072510",LL_ACK
15,"4/1/2026 12:47:45.975 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,Sec,,"SyncRes, SourceSeqNr=126051, TargetSeqNr=259868072510",LL_ACK
16,"4/1/2026 12:47:46.049 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,FunctionPropertyExtState_Read,,"ObjectType=17, Instance=1, PropertyId=51, Command=00 00",LL_ACK
17,"4/1/2026 12:47:46.129 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,FunctionPropertyExtState_Response,,"ObjectType=17, Instance=1, PropertyId=51, ReturnCode=0",LL_ACK
18,"4/1/2026 12:47:47.390 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_Connect,,"",LL_ACK
19,"4/1/2026 12:47:47.418 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,DeviceDescriptor_Read (S=0),,"DescriptorType=0",LL_ACK
20,"4/1/2026 12:47:47.439 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=0),,"",LL_ACK
21,"4/1/2026 12:47:47.470 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,DeviceDescriptor_Response (S=0),,"DescriptorType=0, DescriptorData=07 B0",LL_ACK
22,"4/1/2026 12:47:47.507 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=0),,"",LL_ACK
23,"4/1/2026 12:47:47.542 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyValue_Read (S=1),,"ObjectIndex=0, PropertyId=56, Count=1, StartIndex=1",LL_ACK
24,"4/1/2026 12:47:47.564 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=1),,"",LL_ACK
25,"4/1/2026 12:47:47.605 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,PropertyValue_Response (S=1),,"ObjectIndex=0, PropertyId=56, Count=1, StartIndex=1, Data=00 FE",LL_ACK
26,"4/1/2026 12:47:47.630 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=1),,"",LL_ACK
27,"4/1/2026 12:47:47.709 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,Sec (S=2),,"SyncReq, SourceSeqNr=259868072511",LL_ACK
28,"4/1/2026 12:47:47.731 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=2),,"",LL_ACK
29,"4/1/2026 12:47:47.817 AM",from bus,E,System,1.4.1,"Rèm 1",1.1.11,"-",6,Sec (S=2),,"SyncRes, SourceSeqNr=126052, TargetSeqNr=259868072511",LL_ACK
30,"4/1/2026 12:47:47.844 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=2),,"",LL_ACK
31,"4/1/2026 12:47:47.920 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,Authorize_Request (S=3),,"00 FF FF FF FF",LL_ACK
32,"4/1/2026 12:47:47.941 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=3),,"",LL_ACK
33,"4/1/2026 12:47:48.003 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,Authorize_Response (S=3),,"$00",LL_ACK
34,"4/1/2026 12:47:48.028 AM",to bus,,System,1.1.11,"-",1.4.1,"Rèm 1",5,T_ACK (S=3),,"",LL_ACK
35,"4/1/2026 12:47:48.093 AM",to bus,E,System,1.1.11,"-",1.4.1,"Rèm 1",5,PropertyDescription_Read (S=4),,"ObjectIndex=2, PropertyId=23, PropertyIndex=0",LL_ACK
36,"4/1/2026 12:47:48.115 AM",from bus,,System,1.4.1,"Rèm 1",1.1.11,"-",6,T_ACK (S=4),,"",LL_ACK
